0	1
0	7
0	15
0	18
0	22
1	2
1	11
1	13
1	17
2	6
2	11
3	7
3	10
3	12
3	21
4	0
4	15
5	2
5	7
5	9
5	12
5	13
5	16
5	17
5	22
6	7
6	9
6	12
6	13
6	14
6	16
6	17
6	19
7	1
7	5
7	12
7	15
7	17
7	18
7	20
8	3
8	7
8	10
8	12
8	13
8	21
9	1
9	5
9	6
9	7
9	17
9	19
10	6
10	9
10	15
11	3
11	7
11	8
11	19
11	22
12	6
12	10
12	17
12	21
12	24
13	4
13	7
13	10
13	11
13	22
14	0
14	1
14	3
14	6
14	9
14	11
14	13
14	17
14	23
15	1
15	5
15	11
16	2
16	7
16	8
16	12
16	15
16	23
17	1
17	18
17	21
17	22
18	5
18	8
18	12
18	15
18	17
19	1
19	9
19	16
20	1
20	6
20	12
21	1
21	12
21	14
21	17
21	22
21	24
22	1
22	5
22	9
22	21
22	24
23	0
23	2
23	9
23	18
